T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.65536,1.31073,-0.65536,1.31073,0.0,15.481062992125985
40,0.0,1.9661,-0.65536,1.9661,-3.8702362204724414,23.221653543307088
60,1.0000000003174e-05,2.62147,-0.65536,2.62147,-3.8701771653543116,30.962244094488188
80,1.0000000003174e-05,3.27684,-0.65535,3.27684,-3.8701181102362017,38.70283464566929
100,1.0000000003174e-05,3.93277,-0.65535,3.9322,-3.8701181102362017,46.446673228346455
120,-0.65535,3.93221,-1.31071,4.58757,-11.610590551181103,50.31366141732284
140,-0.65535,4.58757,-1.96607,4.58757,-15.480826771653545,54.18389763779528
160,-0.65535,4.58758,-1.96607,5.24294,-15.480826771653545,58.05425196850394
180,-0.65535,5.24294,-1.96607,5.24294,-15.480826771653545,61.924488188976376
200,-1.31071,5.24294,-1.96607,5.24294,-19.351062992125986,61.924488188976376
220,-1.31071,5.8983,-1.96607,5.24294,-19.351062992125986,65.79472440944882
240,-1.31072,5.24294,-1.96608,5.24293,-19.351181102362204,61.92442913385827
260,-1.31071,5.89885,-1.96608,5.89829,-19.351122047244097,69.66814960629922
280,-1.31072,6.55365,-1.96608,5.89829,-19.351181102362204,73.53507874015749
300,-1.31072,6.55366,-1.96609,6.55366,-19.351240157480316,77.40543307086614
320,-0.65537,5.8983,-0.65537,6.55366,-7.740590551181103,73.5351968503937
340,-1.0000000003174e-05,6.55366,-1.0000000003174e-05,6.55366,-0.00011811023625796063,77.40543307086614
360,0.65535,7.20903,0.65535,7.86439,7.740354330708661,89.01625984251969
380,0.65535,7.86439,0.65535,7.86439,7.740354330708661,92.88649606299214
400,0.65535,8.51975,0.65534,7.86439,7.740295275590552,96.75673228346459
420,1.3107,7.86439,0.65535,7.86439,11.610531496062993,92.88649606299214
440,1.3107,7.8644,1.31071,7.86439,15.480767716535434,92.88655511811024
460,1.96607,7.8644,1.31071,7.8644,19.351062992125986,92.88661417322835
480,1.96607,7.8644,1.96607,8.51977,23.221299212598424,96.75690944881889
500,2.62143,9.17513,1.96607,9.83049,27.09153543307087,112.23791338582677
520,2.62143,11.14122,1.31071,11.14122,23.221299212598424,131.5892125984252
540,1.96607,11.79659,1.31071,11.7966,19.351062992125986,139.3298622047244
560,1.96608,11.7966,1.31072,12.45197,19.351181102362204,143.20021653543307
580,1.96609,13.10734,1.96609,13.76271,23.221535433070866,158.68139763779527
600,1.96609,13.76272,1.9661,14.41808,23.221594488188977,166.4220472440945
620,2.62146,15.07345,1.96611,15.72881,27.09194881889764,181.90311023622047
640,2.62147,16.38419,1.96611,17.03955,27.09200787401575,197.38429133858264
660,2.62148,17.69492,1.96612,18.35029,27.09212598425197,212.86541338582677
680,1.96612,19.00566,1.96612,19.66102,23.22188976377953,228.34653543307087
700,1.96613,20.31639,1.31077,20.31639,19.351771653543306,239.9573622047244
720,1.96613,20.97176,1.31077,21.62713,19.351771653543306,251.56824803149604
740,1.96614,22.28249,1.31078,22.2825,19.35188976377953,263.1790748031496
760,1.31079,22.93787,0.65543,22.93787,11.611535433070866,270.9197244094488
780,1.31079,24.24859,0.65543,24.2486,11.611535433070866,286.40072834645673
800,0.65543,25.55933,7.9999999996971e-05,26.21469,3.871122047244076,305.75208661417327
820,7.9999999996971e-05,26.2147,-0.65528,26.87006,-3.869291338582695,313.49267716535434
840,9.0000000000146e-05,27.52543,-0.65527,27.52543,-3.8691732283464555,325.1035039370079
860,9.0000000000146e-05,27.52543,-0.65527,27.52542,-3.8691732283464555,325.10344488188974
880,-0.65527,28.18078,-0.65527,27.52543,-7.739409448818898,328.9736811023622
