T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,1.9999999992137e-05,-0.65537,-1.0000000003174e-05,-0.65535999999999,5.9055118045057103e-05,-7.740531496062933
40,-0.65536,-0.65538,-1.0000000003174e-05,-0.65538,-3.8702952755905704,-7.740708661417322
60,6.55365,-2.62153,17.03959,-3.93229,139.33015748031497,-38.703661417322834
80,22.28258,-4.58769,22.28257,-2.62158,263.1800196850394,-42.57442913385827
100,21.62721,-1.96621,22.2826,-1.96621,259.3099015748032,-23.222952755905514
120,22.2826,-1.96622,22.28256,-1.31086,263.18007874015746,-19.352834645669294
140,22.28256,-1.96622,22.93792,-1.31086,267.0500787401575,-19.352834645669294
160,22.93795,-1.96622,22.93791,-0.65549,270.9204330708662,-15.482539370078742
180,22.93794,-1.31086,22.93791,-0.6555,270.92037401574805,-11.61236220472441
200,22.93793,-1.31087,22.9379,-0.6555,270.9202559055118,-11.61242125984252
220,22.93791,-0.6555,22.9379,-0.65549,270.9201377952756,-7.742066929133858
240,22.9379,-0.65551,22.9379,0.65522,270.92007874015746,-0.0017125984251968505
260,22.9379,-0.0001400000000018,22.93793,0.65523,270.9202559055118,3.868641732283454
280,22.93789,0.65523,22.9379,1.3106,270.9200196850394,11.609232283464568
300,22.93789,1.31059,22.9379,2.62133,270.9200196850394,23.22
320,22.28254,1.96597,22.28253,2.62134,263.1795472440945,27.090413385826775
340,22.28256,2.62134,22.28255,3.93207,263.1797834645669,38.70124015748032
360,21.62718,3.27671,22.28253,4.58744,259.30931102362206,46.44183070866142
380,21.62717,3.93207,20.97182,5.2428,251.5688385826772,54.182303149606305
400,21.62721,4.58745,21.62718,5.24281,255.43931102362205,58.05271653543308
420,21.6272,4.58745,21.62716,5.24282,255.43913385826772,58.05277559055118
440,21.62719,4.58746,21.62715,5.89819,255.4390157480315,61.92312992125984
460,21.62715,5.24283,21.62717,5.8982,255.4388976377953,65.79348425196851
480,21.62715,5.24284,20.97178,5.89822,251.56848425196853,65.79366141732284
500,20.97179,5.24285,20.97181,5.89821,247.69842519685042,65.79366141732284
520,20.97178,5.24285,19.66104,5.24288,239.95759842519686,61.923602362204726
540,7.86445,4.58758,-4.58753,5.8984,19.351889763779525,61.92507874015748
560,-5.89827,7.20915,-5.2429,9.17527,-65.79431102362206,96.75838582677164
580,-5.24289,9.17527,-5.24287,9.83064,-61.92377952755906,112.23962598425197
600,-5.2429,9.83064,-5.24287,10.486,-61.923838582677156,119.98015748031496
620,-5.2429,10.486,-5.24291,11.14137,-61.924074803149615,127.72068897637796
640,-5.2429,10.48601,-5.24291,11.14138,-61.924074803149615,127.72080708661417
660,-5.24291,10.48601,-5.2429,11.14137,-61.924074803149615,127.72074803149606
680,-5.24288,10.486,-5.24288,11.14137,-61.92377952755906,127.72068897637796
700,-5.24292,10.486,-5.24291,11.14137,-61.92419291338583,127.72068897637796
720,-5.24292,11.14136,-5.24293,11.14138,-61.924311023622046,131.5909842519685
740,-5.24292,10.486,-5.24292,11.79673,-61.92425196850394,131.5909251968504
760,-5.24292,10.486,-5.24292,11.14136,-61.92425196850394,127.72062992125987
