T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.65537,2.62147,1.0000000003174e-05,0.65536,3.8703543307086803,19.351358267716535
40,0.65538,2.62148,2.0000000006348e-05,2.62146,3.8704724409449187,30.962244094488188
60,1.31074,3.27684,0.65537,1.31073,11.610885826771653,27.09194881889764
80,1.31072,2.62147,0.65535000000001,1.31072,11.610649606299273,23.221594488188977
100,1.96609,3.27684,2.62145,1.31075,27.091771653543308,27.09206692913386
120,4.58754,1.96614,3.93217,1.31075,50.313248031496066,19.3517125984252
140,5.24291,1.96614,4.58755,0.6554,58.05389763779528,15.481535433070867
160,5.89828,2.6215,7.20899,1.9999999999243e-05,77.40513779527559,15.481417322834643
180,9.17509,1.31078,9.1751,3.9999999998486e-05,108.36726377952758,7.7410629921259755
200,11.14119,0.65544,10.48583,0.65541,127.71862204724411,7.741240157480315
220,11.79656,1.3108,11.14121,0.65542,135.4592716535433,11.611535433070866
240,11.79658,3.2769,9.83048,1.31081,127.71885826771654,27.092775590551184
260,10.48586,3.27693,10.48586,3.93226,123.84874015748032,42.57395669291339
280,11.14124,7.2091,11.14123,5.89835,131.58938976377954,77.40620078740157
300,12.45196,8.51982,12.45197,7.86444,147.0704527559055,96.75744094488188
320,13.7627,11.14127,13.10735,10.48588,158.68139763779527,127.71938976377953
340,15.07343,11.14127,14.41807,10.48588,174.16240157480314,127.71938976377953
360,14.41809,13.76271,13.10738,14.41804,162.55198818897637,166.42175196850394
380,14.41811,15.7288,14.41811,15.07341,170.2926377952756,181.9028149606299
400,14.41812,17.69487,13.76275,17.03948,166.42246062992126,205.12411417322838
420,14.41812,19.00559,12.45204,17.69485,158.6820472440945,216.73488188976378
440,13.76276,20.31631,12.45204,18.3502,154.81181102362206,228.34553149606302
460,13.10741,20.3163,12.45204,20.31628,150.94163385826772,239.9561811023622
480,13.10741,21.62702,11.79669,20.31627,147.0714566929134,247.69659448818896
500,12.45206,22.28238,11.14133,20.97164,139.33104330708662,255.43712598425196
520,9.8306,23.59311,9.17524,23.59309,112.2392125984252,278.65866141732283
540,9.83063,26.21457,9.17526,24.90381,112.23950787401576,301.8801968503937
560,9.83062,25.55919,9.17526,25.55917,112.23944881889764,301.8800787401575
580,9.83064,27.52528,8.51992,26.86989,108.36944881889765,321.23131889763783
600,9.83064,28.836,9.17528,26.86988,112.2396850393701,328.9717322834646
620,10.48601,28.83599,9.17529,28.18061,116.11003937007875,336.71220472440945
640,10.48601,29.49136,9.83063,27.52524,119.98015748031496,336.71220472440945
660,10.486,28.83599,9.17528,28.18061,116.10992125984254,336.71220472440945
680,9.17529,30.14672,8.51994,28.83597,104.49938976377955,348.32297244094485
700,9.17531,30.14672,8.51994,28.83597,104.49950787401576,348.32297244094485
720,8.51995,30.80208,7.20923,29.49134,92.88885826771653,356.06350393700785
740,7.86461,30.80209,7.8646,28.18061,92.88903543307087,348.323031496063
760,9.83069,29.49136,8.51997,28.18061,108.37003937007876,340.58250000000004
780,8.51998,30.14672,9.17535,27.52526,104.49998031496062,340.5825590551181
800,9.83072,28.836,8.51998,27.52523,108.37027559055119,332.8419094488189
820,9.1779,29.49134,7.86464,28.1806,100.64492125984252,340.58232283464565
840,9.83074,28.83598,9.17538,25.55914,112.24086614173228,321.23102362204725
860,10.4861,26.21452,10.48611,24.24841,123.85163385826772,298.0094291338583
880,12.45219,24.24844,14.41826,20.97159,158.6837598425197,267.0474212598425
900,24.90409,23.59302,28.83629,23.59297,317.36444881889764,278.6574212598425
920,28.83629,24.90372,26.21486,23.59299,325.1052165354331,286.3978937007874
940,26.21489,25.55911,25.55953,23.593,305.75444881889763,290.2683661417323
960,26.21491,24.90375,25.55955,23.59299,305.7546850393701,286.3980708661418
980,26.21493,24.24839,24.90421,22.28227,301.8846850393701,274.7873622047244
1000,26.21494,23.59301,25.55958,21.6269,305.75503937007875,267.0467125984252
1020,26.87031,22.93764,26.87031,20.97153,317.3658661417323,259.3061220472441
1040,27.52568,22.28227,26.87031,20.97151,321.2361614173228,255.43570866141732
1060,27.52568,21.6269,26.21495,20.31615,317.3659251968504,247.69517716535432
1080,27.52568,20.97153,26.8703,19.66078,321.23610236220475,239.95458661417322
1100,28.18103,20.31616,26.8703,19.00541,325.1062795275591,232.21399606299215
1120,27.52567,20.31616,26.87029,19.0054,321.23598425196855,232.21393700787405
1140,27.52565,20.31614,26.87028,19.0054,321.23580708661416,232.2138188976378
1160,27.52564,20.31614,26.87028,19.00539,321.23574803149603,232.21375984251972
1180,26.87028,20.31614,26.21491,19.00538,313.4952165354331,232.2137007874016
1200,26.21491,19.66077,25.55955,18.35001,305.7546850393701,224.47311023622046
1220,26.87028,20.31612,26.21491,17.69464,313.4952165354331,224.47299212598423
1240,27.52563,19.00538,26.87026,17.03926,321.23557086614176,212.8620472440945
1260,27.52562,19.00536,26.21489,17.03926,317.3652165354331,212.8619291338583
1280,27.52562,18.35,26.21488,17.03925,317.36515748031496,208.99163385826773
1300,27.52561,19.00536,26.87025,17.69462,321.2353937007874,216.7321653543307
