T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.65536,0.0,0.65535999999999,-0.65536,7.740472440944823,-3.8702362204724414
40,0.65536,0.0,0.65535,-0.65536,7.7404133858267725,-3.8702362204724414
60,0.65535,0.0,0.65534,-1.31074,7.740295275590552,-7.740590551181103
80,1.3107,-0.65538,1.3107,-2.62146,15.480708661417323,-19.351417322834646
100,1.96605,-2.62147,1.96604,-4.58756,23.221003937007875,-42.573011811023626
120,2.62141,-3.9322,2.6214,-4.58756,30.96147637795276,-50.31354330708661
140,2.62141,-3.27684,1.96604,-3.27683,27.091240157480314,-38.702775590551184
160,1.96605,-2.62148,1.96605,-3.9322,23.221062992125987,-38.70283464566929
180,1.31069,-2.62147,0.65532,-3.27683,11.610295275590552,-34.83248031496063
200,0.65533,-2.62147,0.65532,-3.27684,7.74005905511811,-34.83253937007874
220,0.65533,-2.62147,-4.0000000005591e-05,-3.27683,3.8698228346456363,-34.83248031496063
240,-3.0000000002417e-05,-1.96611,-3.0000000002417e-05,-2.62147,-0.00035433070868996455,-27.09200787401575
260,-3.0000000002417e-05,-1.96611,-3.0000000002417e-05,-1.96611,-0.00035433070868996455,-23.221771653543307
280,-3.0000000002417e-05,-1.31074,-0.6554,-1.96611,-3.870649606299227,-19.351476377952757
300,-3.0000000002417e-05,-1.31074,-0.6554,-1.31074,-3.870649606299227,-15.481181102362205
320,-0.65539,-0.65538,-0.65539,-0.65539,-7.740826771653544,-7.740767716535434
340,-0.65539,-0.65538,-0.65539,-1.31074,-7.740826771653544,-11.610944881889765
360,-0.65538,-0.65538,-0.65539,-0.65538,-7.740767716535434,-7.740708661417322
380,-0.65538,-1.9999999999243e-05,-0.65538,-0.65538,-7.740708661417322,-3.8704724409448774
400,-1.31074,0.65535,-1.31075,-9.9999999960687e-06,-15.481240157480316,3.870118110236243
420,-1.31073,0.65535,-1.31074,-9.9999999960687e-06,-15.481122047244094,3.870118110236243
440,-1.31073,1.31071,-1.31073,-9.9999999960687e-06,-15.481062992125985,7.740354330708685
460,-1.31073,1.31071,-1.96609,0.65536,-19.351299212598423,11.610649606299212
480,-1.31072,1.31072,-1.96609,0.65601,-19.351240157480316,11.614547244094489
500,-1.96608,1.31072,-1.96609,0.65536,-23.221476377952758,11.610708661417323
520,-1.96608,1.31072,-1.96609,0.65536,-23.221476377952758,11.610708661417323
540,-1.96608,1.31072,-1.96608,0.65536,-23.221417322834647,11.610708661417323
560,-2.62144,1.31072,-1.96608,0.65536,-27.091653543307086,11.610708661417323
580,-2.62143,1.31072,-2.62144,0.65536,-30.961830708661417,11.610708661417323
600,-2.62144,1.31072,-2.62144,0.65536,-30.96188976377953,11.610708661417323
620,-2.62143,0.65536,-3.2768,0.0,-34.83206692913386,3.8702362204724414
640,-2.62143,0.0,-2.62144,-1.31072,-30.961830708661417,-7.740472440944883
660,-2.62144,-0.65536,-2.62143,-1.96609,-30.961830708661417,-15.481003937007873
680,-1.96607,-1.31073,-2.62144,-3.27681,-27.091594488188978,-27.091771653543308
700,-1.96608,-3.27681,-1.96609,-3.93218,-23.221476377952758,-42.57277559055118
720,-1.31072,-3.27682,-1.96609,-4.58755,-19.351240157480316,-46.443129921259846
740,-1.31073,-3.27683,-1.96609,-3.93218,-19.351299212598423,-42.572893700787404
760,-1.96609,-2.62146,-1.9661,-3.27682,-23.221594488188977,-34.83236220472441
780,-1.96609,-1.9661,-1.96609,-2.62146,-23.221535433070866,-27.091889763779527
800,-2.62144,-1.96609,-2.62145,-1.96609,-30.96194881889764,-23.221535433070866
820,-2.62144,-1.31074,-3.2768,-1.96609,-34.832125984251974,-19.351358267716535
840,-3.2768,-1.31074,-3.27681,-1.9661,-38.702421259842524,-19.351417322834646
860,-2.62145,-0.65537,-1.96611,-1.31073,-27.091889763779527,-11.610826771653544
880,-1.96611,-1.0000000003174e-05,-1.31076,-9.9999999960687e-06,-19.35159448818898,-0.0001181102362160002
900,-0.65539,0.65536,-0.6554,0.0,-7.740885826771653,3.8702362204724414
920,-3.9999999998486e-05,0.0,0.65531,-1.31073,3.869704724409457,-7.740531496062992
940,0.65532,-0.65536,0.65531,-1.96609,7.73994094488189,-15.481003937007873
960,0.65531,-0.65537,1.31066,-1.96609,11.61005905511811,-15.481062992125985
