T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,9.9999999960687e-06,-0.65536,5.905511808701989e-05,-3.8702362204724414
40,9.9999999960687e-06,-0.65537,0.65537,-0.65537,3.8703543307086377,-7.740590551181103
60,0.65537,-0.65537,0.65537,-0.65537,7.740590551181103,-7.740590551181103
80,0.65537,-1.31073,0.65537999999999,-1.31073,7.7406496062991526,-15.481062992125985
100,0.65537,-1.31074,0.65537,-1.31074,7.740590551181103,-15.481181102362205
120,0.65537999999999,-1.31074,1.31074,-1.31074,11.610944881889703,-15.481181102362205
140,0.65537999999999,-1.96609,0.65537999999999,-1.9661,7.740708661417204,-23.221594488188977
160,0.65539,-1.31074,0.65537999999999,-1.31074,7.740767716535374,-15.481181102362205
180,0.65539,-1.96611,0.65539,-1.9661,7.740826771653544,-23.221712598425196
200,0.65539,-1.96611,0.65539,-1.9661,7.740826771653544,-23.221712598425196
220,0.65539,-1.96611,0.65539,-1.9661,7.740826771653544,-23.221712598425196
240,0.6554,-1.31074,0.6554,-1.31074,7.740944881889764,-15.481181102362205
260,0.65541,-1.31074,0.65541,-0.65538,7.741062992125985,-11.610944881889765
280,0.65541,-1.31074,0.65541,-1.31074,7.741062992125985,-15.481181102362205
300,0.65542,-1.0000000003174e-05,1.96616,2.62146,15.481771653543307,15.481003937007856
320,1.96618,2.62146,1.96619,2.62146,23.22265748031496,30.96212598425197
340,2.62156,2.62147,2.62156,2.62147,30.963307086614176,30.962244094488188
360,2.62156,2.62147,2.62157,3.27684,30.963366141732287,34.83253937007874
380,2.62156,3.27684,2.62156,3.27684,30.963307086614176,38.70283464566929
400,2.62157,61.60388,1.9662,3.27685,27.09312992125984,383.1539173228347
420,1.9662,3.9322,1.31084,3.93221,19.352598425196852,46.443366141732284
440,0.65548,3.93221,4.58767,3.93222,30.963484251968506,46.443484251968506
460,17.0397,2.62152,19.6612,2.62151,216.73759842519684,30.962775590551182
480,17.03973,3.27687,17.69508,3.93224,205.1268307086614,42.5734842519685
500,17.69508,3.93225,17.69507,3.93225,208.99694881889766,46.443897637795274
520,17.69507,3.93226,17.69507,4.58763,208.99688976377954,50.31431102362205
540,17.69507,3.93227,17.69507,4.58763,208.99688976377954,50.31437007874016
560,18.35044,5.24299,17.69508,5.243,212.86724409448823,61.925137795275596
580,17.69509,5.89836,18.35045,5.89836,212.86736220472443,69.66566929133859
600,18.35046,6.55372,18.35046,6.55373,216.7377165354331,77.40620078740157
