T,LX,LY,RX,RY,AVG_X,AVG_Y
0,0.0,0.0,0.0,0.0,0.0,0.0
20,-0.65537,-0.65535999999999,-0.65537,0.0,-7.740590551181103,-3.870236220472382
40,-1.31074,-0.65535999999999,-1.31073,-0.65536,-15.481122047244094,-7.740472440944823
60,-1.96611,-1.31072,-1.9661,-0.65536,-23.221712598425196,-11.610708661417323
80,-5.89831,1.0000000003174e-05,-5.89832,9.9999999960687e-06,-69.6651377952756,0.0001181102362160002
100,-5.89831,-0.65534,-5.24295,9.9999999960687e-06,-65.79484251968505,-3.870059055118134
120,-5.89832,-0.65535,-5.24295,0.65537,-65.79490157480315,0.00011811023622059054
140,-6.55367,1.9999999999243e-05,-5.89831,9.9999999960687e-06,-73.53531496062993,0.0001771653543030219
160,-6.55368,-0.65535,-6.55368,9.9999999960687e-06,-77.40566929133858,-3.870118110236243
180,-7.86441,1.0000000003174e-05,-7.20905,9.9999999960687e-06,-89.01649606299213,0.0001181102362160002
200,-8.51979,-1.31071,-8.51978,-0.65535000000001,-100.6273818897638,-11.610590551181161
220,-9.83053,-1.31071,-10.48588,-1.31071,-119.97879921259843,-15.480826771653545
240,-11.14126,-1.96607,-11.14126,-1.31071,-131.5896850393701,-19.351062992125986
260,-11.79664,-1.96606,-11.79664,-1.3107,-139.3303937007874,-19.350944881889763
280,-12.45201,-1.96606,-12.452,-1.96606,-147.0709251968504,-23.221181102362205
300,-13.10737,-2.62142,-11.79664,-1.96606,-147.0709251968504,-27.091417322834648
320,-12.45201,-2.62141,-11.79664,-1.96605,-143.20068897637796,-27.091299212598425
340,-12.452,-1.96605,-11.79663,-1.31069,-143.20057086614173,-19.350826771653544
360,-11.14128,-1.96605,-10.48592,-1.31069,-127.71968503937008,-19.350826771653544
380,-10.48593,-1.96604,-9.1752,-1.31068,-116.10903543307087,-19.350708661417325
400,-9.83057,-1.96604,-8.51984,-0.65532,-108.36856299212599,-15.480472440944883
420,-9.17522,-1.96603,-8.51984,-1.31068,-104.49838582677164,-19.350649606299214
440,-9.17522,-1.31067,-8.51985,-0.65532,-104.49844488188977,-11.610177165354331
460,-9.17522,-1.31067,-9.17521,-0.65531,-108.3686811023622,-11.610118110236222
480,-9.83059,-1.31067,-9.17521,-0.6553,-112.23897637795277,-11.61005905511811
